"TypForetag","Placeringstillgangar","Tid","TAB5442"
"1.1","12","2007K3",2135080
"1.1","12","2007K4",2131718
"1.1","12","2008K1",2063281
"1.1","12","2008K2",2018468
"1.1","12","2008K3",1969768
"1.1","12","2008K4",1931305
"1.1","12","2009K1",1949782
"1.1","12","2009K2",2071118
"1.1","12","2009K3",2175186
"1.1","12","2009K4",2245652
"1.1","12","2010K1",2357183
"1.1","12","2010K2",2338924
"1.1","12","2010K3",2429256
"1.1","12","2010K4",2458527
"1.1","12","2011K1",2502165
"1.1","12","2011K2",2357183
"1.1","12","2011K3",2408518
"1.1","12","2011K4",2446662
"1.1","12","2012K1",2556110
"1.1","12","2012K2",2572712
"1.1","12","2012K3",2631973
"1.1","12","2012K4",2665357
"1.1","12","2013K1",2779380
"1.1","12","2013K2",2781814
"1.1","12","2013K3",2813947
"1.1","12","2013K4",2919362
"1.1","12","2014K1",3042822
"1.1","12","2014K2",3126730
"1.1","12","2014K3",3235605
"1.1","12","2014K4",3357616
"1.1","12","2015K1",3680774
"1.1","12","2015K2",3553548
"1.1","12","2015K3",3450694
"1.1","12","2015K4",3511514
"1.1","12","2016K1",3546447
"1.1","12","2016K2",3614401
"1.1","12","2016K3",3714314
"1.1","12","2016K4",3758441
"1.1","12","2017K1",3926691
"1.1","12","2017K2",3985354
"1.1","12","2017K3",4057660
"1.1","12","2017K4",4054086
"1.1","12","2018K1",4175622
"1.1","12","2018K2",4265363
"1.1","12","2018K3",4341832
"1.1","12","2018K4",4032969
"1.1","12","2019K1",4359369
"1.1","12","2019K2",4510680
"1.1","12","2019K3",4641117
"1.1","12","2019K4",4776458
"1.1","12","2020K1",4418180
"1.1","12","2020K2",4691721
"1.1","12","2020K3",4892566
"1.1","12","2020K4",5070594
"1.1","12","2021K1",5506233
"1.1","12","2021K2",5905061
"1.1","12","2021K3",6003696
"1.1","12","2021K4",6431955
"1.1","12","2022K1",6137617
"1.1","12","2022K2",5713224
"1.1","12","2022K3",5708422
"1.1","12","2022K4",5803446
"1.1","12","2023K1",6102598
"1.1","12","2023K2",6276771
"1.1","12","2023K3",6132927
"1.1","12","2023K4",6415094
"1.1","12","2024K1",6808399
"1.1","12","2024K2",6907780
"1.1","12","2024K3",7088561
"1.1","12","2024K4",7127591
"1.1","12","2025K1",6932956
"1.1","12","2025K2",7157055
"1.1","12","2025K3",7455152
